2026-04-10 18:39:56 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=5
2026-04-10 18:40:06 | INFO | src.app.controller | 开始规划: 北京朝阳区 -> 上海浦东新区, 算法=双向 Dijkstra, 水果=苹果, 运输=多式联运, 载重=5.0吨
2026-04-10 18:40:06 | INFO | src.app.controller | 路径已发送到地图。
2026-04-10 18:40:06 | INFO | src.app.controller | 规划成功（未配置可用 PostGIS 连接，已使用演示图数据。）
2026-04-10 18:40:06 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=5
2026-04-10 18:40:53 | INFO | src.app.controller | 参数已重置。
2026-04-11 10:46:17 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 10:46:17 | INFO | src.app.main | 应用启动完成
2026-04-11 10:46:17 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 10:46:18 | INFO | src.app.controller | 地图消息: 地图初始化完成。
2026-04-11 10:46:18 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 10:46:18 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
2026-04-11 10:57:59 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 10:57:59 | INFO | src.app.main | 应用启动完成
2026-04-11 10:58:00 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 10:58:00 | INFO | src.app.controller | 地图消息: 地图初始化完成。
2026-04-11 10:58:00 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 10:58:00 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
2026-04-11 11:44:24 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 11:44:24 | INFO | src.app.main | 应用启动完成
2026-04-11 11:44:24 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 11:44:24 | INFO | src.app.controller | 地图消息: 地图初始化完成。
2026-04-11 11:44:24 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 11:44:25 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
2026-04-11 11:44:55 | INFO | src.app.controller | 开始规划: 北京朝阳区 -> 上海浦东新区, 算法=Dijkstra, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 11:45:21 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 11:45:21 | INFO | src.app.controller | 规划成功
2026-04-11 11:45:21 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=7699
2026-04-11 11:45:48 | INFO | src.app.controller | 开始规划: 北京朝阳区 -> 上海浦东新区, 算法=A*, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 11:46:15 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 11:46:15 | INFO | src.app.controller | 规划成功
2026-04-11 11:46:15 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=7699
2026-04-11 11:46:27 | INFO | src.app.controller | 开始规划: 北京朝阳区 -> 上海浦东新区, 算法=双向 Dijkstra, 水果=苹果, 运输=公路冷链, 载重=5.0吨
2026-04-11 11:46:54 | INFO | src.app.controller | 路径已发送到地图。
2026-04-11 11:46:54 | INFO | src.app.controller | 规划成功
2026-04-11 11:46:54 | INFO | src.app.controller | 地图消息: 地图完成渲染，点数=7699
2026-04-11 11:48:23 | INFO | src.app.controller | 参数已重置。
2026-04-11 11:59:54 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 11:59:54 | INFO | src.app.main | 应用启动完成
2026-04-11 11:59:54 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 11:59:54 | INFO | src.app.controller | 地图消息: 地图初始化完成。
2026-04-11 11:59:54 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 11:59:55 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
2026-04-11 12:13:19 | INFO | src.app.controller | 界面已启动，等待输入。
2026-04-11 12:13:19 | INFO | src.app.main | 应用启动完成
2026-04-11 12:13:20 | INFO | src.app.controller | 地图消息: WebChannel 已连接。
2026-04-11 12:13:20 | INFO | src.app.controller | 地图消息: 地图初始化完成。
2026-04-11 12:13:20 | INFO | src.app.controller | 地图桥接完成，可接收路径。
2026-04-11 12:13:20 | INFO | src.app.controller | 地图页面加载完成，等待 WebChannel 就绪。
